Package name,Status,From
io.anyline.examples.store,y,Us_entropy
com.baidu.BaiduMap,y,Us_entropy
sg.bigo.date,after installment not found,Us_entropy
io.trade.tradeio.eu,not found,Us_entropy
com.magicvcam.super.selfiecam.camera,y,Us_entropy
com.instagram.android,not found,Us_entropy
com.facebook.talk,not found,Us_entropy
com.instagram.igtv,not found,Us_entropy
com.mastercraft.game.explorationn,after installment not found,Us_entropy
com.bruxlabsnore,,Us_entropy
com.jingdong.app.mall,,Us_entropy
com.cyberlink.youcammakeup,,Us_entropy
com.iart.camera.photo,,Us_entropy
com.geico.mobile,,Us_entropy
ProjectXAndroidAC.imbin,not found,Us_entropy
com.google.android.apps.cultural,,Us_entropy
com.easilydo.mail,,Us_entropy
com.joytunes.simplypiano,,Us_entropy
com.kwai.video,,Us_entropy
com.grammarly.android.keyboard,,Us_entropy
com.google.android.apps.photosgo,,Us_entropy
com.eraserphoto.cutout.backgroundeditor,,Us_entropy
com.google.android.googlequicksearchbox,,Us_entropy
com.nhn.android.search,,Us_entropy
com.fishbrain.app,,Us_entropy
co.vero.app,,Us_entropy
com.baseapp.eyeem,,Us_entropy
com.shutterfly,,Us_entropy
com.google.audio.hearing.visualization.accessibility.scribe,,Us_entropy
ai.fritz.heartbeat,,Us_entropy
com.familyfit.google.baduanjin,,Us_entropy
com.abrmobileapp,,Us_entropy
com.google.android.apps.translate,,Us_entropy
com.google.android.tts,,Us_entropy
com.disney.datg.videoplatforms.android.watchdc,,Us_entropy
co.theguru.dali,,Us_entropy
ru.mail,,Us_entropy
ProjectXAndroid.imbin,,Us_entropy
com.meitu.beautyplusme,,Us_entropy
com.statefarm.pocketagent,not found,Us_entropy
com.modiface.loreal.stylemyhair,,Us_entropy
com.nick.android.nickjr,,Us_entropy
fluidsim.de.interactivedrop,,Us_entropy
com.fabbyhair.android,,Us_entropy
com.icomedias.hybridforms,,Us_entropy
cn.jingling.motu.photowonder,,Us_entropy
ir.hafhashtad.android780,,Us_entropy
com.google.android.apps.photos.scanner,,Us_entropy
cutcut.cut.out.paste.background.remove.photo.cutout,,Us_entropy
com.cut.cutout.photo.background.editor,,Us_entropy
com.roberts.croberts.mantis,not found,Us_entropy
com.vyroai.AiBlurEditor,Y,Us_entropy
com.abtnprojects.ambatana,not found,Us_entropy
com.tyndale.filament,,Us_entropy
app.vivoo.io,,Us_entropy
com.draw.clash.drawit,,Us_entropy
com.dazz.hoop,,Us_entropy
com.senegence.android.senelooks,,Us_entropy
ch.zhaw.facerecognition,,Us_entropy
com.alivecor.aliveecg,,Us_entropy
horse.schvung.equilab,,Us_entropy
com.homesecurity.firstone,,Us_entropy
com.seefoodtechnologies.nothotdog,,Us_entropy
machinelearning.tensorflow.speech,,Us_entropy
com.urbandroid.sleep,,Us_entropy
uk.tensorzoom,,Us_entropy
machinelearning.tensorflow.classifier,,Us_entropy
com.bitstrips.imoji,not found,Us_entropy
com.live.videochat.india,Y,gplay
com.dailyselfie.newlook.studio,Y,gplay
com.badoo.mobile,Y,gplay
com.camscanner.documentscanner.pdfreader,Y,gplay
facetechstudio.future.me,Y,gplay
com.gokoo.hamo,Y,gplay
com.huya.nimo,Y,gplay
com.shensz.student,not found,Quantitized
com.google.android.apps.translate,y,Quantitized
com.vsco.cam,y,Quantitized
com.shensz.teacher,Not found,Quantitized
com.youdao.hindict,,mengweidl
com.commsource.beautyplus,,mengweidl
com.snapchat.android,,mengweidl
com.mt.mtxx.mtxx,,mengweidl
com.xingin.xhs,,mengweidl
com.magicv.airbrush,,mengweidl
com.mico,,mengweidl
com.hefe.pro.editor,,mengweidl
com.huanshi.awe.another,,mengweidl
com.campmobile.snow,,mengweidl
com.infocomltd.ugvassistant,,mengweidl
com.uc.vmate,,mengweidl
jp.naver.line.android,,mengweidl
video.like,,mengweidl
com.alibaba.intl.android.apps.poseidon,,mengweidl
com.asiainno.uplive.yuanfen,,mengweidl
com.cwtcn.kt,not found,Tencent
com.alpha.lago,not found,Tencent
com.jiayuan,not found,Tencent
com.wbitech.medicine,not found,Tencent
com.greenpoint.android.mc10086.activity,not found,Tencent
com.cmcm.gamemaster,not found,Tencent
com.fenqile.fenqile,not found,Tencent
com.tinmanarts.JoJoSherlock,not found,Tencent
com.baidu.baidutranslate,not found,Tencent
com.yiqizuoye.jzt,not found,Tencent
com.tencent.karaoke,not found,Tencent
com.yunjibuyer.yunji,not found,Tencent
com.tencent.tv.qie,not found,Tencent
cn.mifengkong.huaxiaapp,not found,Tencent
com.xhqb.app,not found,Tencent
com.duowan.yylove,not found,Tencent
com.jym.mall,not found,Tencent
com.A17zuoye.mobile.homework,not found,Tencent
com.tencent.tgp,not found,Tencent
com.ali.money.shield,,Tencent
com.android.haitong,not found,Tencent
com.taobao.qianniu,,Tencent
com.taobao.mobile.dipei,,Tencent
com.qq.qcloud,,Tencent
cn.eclicks.wzsearch,,Tencent
com.hlg.daydaytobusiness,,Tencent
cn.mchang,,Tencent
com.baidu.searchbox,,Tencent
com.rrh.jdb,,Tencent
com.kaola,,Tencent
com.taobao.trip,,Tencent
com.changba,,Tencent
ctrip.android.view,,Tencent
com.sina.weibo,,Tencent
com.babytree.apps.lama,,Tencent
com.wali.live,,Tencent
